,time to catastrophe (s),labeled
0,470,TRUE
1,1415,TRUE
2,130,TRUE
3,280,TRUE
4,550,TRUE
5,65,TRUE
6,330,TRUE
7,325,TRUE
8,340,TRUE
9,95,TRUE
10,55,TRUE
11,360,TRUE
12,220,TRUE
13,225,TRUE
14,320,TRUE
15,60,TRUE
16,210,TRUE
17,155,TRUE
18,875,TRUE
19,1000,TRUE
20,475,TRUE
21,295,TRUE
22,245,TRUE
23,415,TRUE
24,305,TRUE
25,320,TRUE
26,370,TRUE
27,505,TRUE
28,1180,TRUE
29,440,TRUE
30,620,TRUE
31,140,TRUE
32,180,TRUE
33,675,TRUE
34,65,TRUE
35,270,TRUE
36,150,TRUE
37,560,TRUE
38,545,TRUE
39,330,TRUE
40,390,TRUE
41,75,TRUE
42,650,TRUE
43,635,TRUE
44,540,TRUE
45,305,TRUE
46,575,TRUE
47,670,TRUE
48,585,TRUE
49,625,TRUE
50,820,TRUE
51,435,TRUE
52,635,TRUE
53,105,TRUE
54,95,TRUE
55,255,TRUE
56,500,TRUE
57,120,TRUE
58,270,TRUE
59,130,TRUE
60,490,TRUE
61,525,TRUE
62,735,TRUE
63,370,TRUE
64,340,TRUE
65,605,TRUE
66,245,TRUE
67,255,TRUE
68,530,TRUE
69,225,TRUE
70,280,TRUE
71,745,TRUE
72,340,TRUE
73,205,TRUE
74,245,TRUE
75,135,TRUE
76,910,TRUE
77,340,TRUE
78,115,TRUE
79,180,TRUE
80,240,TRUE
81,850,TRUE
82,185,TRUE
83,390,TRUE
84,180,TRUE
85,525,TRUE
86,235,TRUE
87,105,TRUE
88,290,TRUE
89,380,TRUE
90,280,TRUE
91,660,TRUE
92,640,TRUE
93,770,TRUE
94,860,TRUE
95,290,TRUE
96,190,TRUE
97,345,TRUE
98,585,TRUE
99,440,TRUE
100,640,TRUE
101,835,TRUE
102,290,TRUE
103,380,TRUE
104,395,TRUE
105,185,TRUE
106,490,TRUE
107,270,TRUE
108,860,TRUE
109,425,TRUE
110,445,TRUE
111,340,TRUE
112,135,TRUE
113,745,TRUE
114,980,TRUE
115,600,TRUE
116,1010,TRUE
117,955,TRUE
118,155,TRUE
119,385,TRUE
120,385,TRUE
121,140,TRUE
122,420,TRUE
123,600,TRUE
124,800,TRUE
125,410,TRUE
126,250,TRUE
127,185,TRUE
128,800,TRUE
129,885,TRUE
130,885,TRUE
131,520,TRUE
132,345,TRUE
133,135,TRUE
134,415,TRUE
135,665,TRUE
136,220,TRUE
137,395,TRUE
138,155,TRUE
139,325,TRUE
140,550,TRUE
141,360,TRUE
142,400,TRUE
143,190,TRUE
144,535,TRUE
145,285,TRUE
146,170,TRUE
147,400,TRUE
148,290,TRUE
149,1385,TRUE
150,770,TRUE
151,500,TRUE
152,200,TRUE
153,500,TRUE
154,260,TRUE
155,1730,TRUE
156,210,TRUE
157,595,TRUE
158,275,TRUE
159,510,TRUE
160,1425,TRUE
161,640,TRUE
162,200,TRUE
163,120,TRUE
164,540,TRUE
165,365,TRUE
166,280,TRUE
167,170,TRUE
168,100,TRUE
169,190,TRUE
170,1530,TRUE
171,120,TRUE
172,1105,TRUE
173,80,TRUE
174,225,TRUE
175,710,TRUE
176,890,TRUE
177,680,TRUE
178,285,TRUE
179,195,TRUE
180,650,TRUE
181,350,TRUE
182,155,TRUE
183,1095,TRUE
184,465,TRUE
185,215,TRUE
186,365,TRUE
187,605,TRUE
188,520,TRUE
189,280,TRUE
190,610,TRUE
191,765,TRUE
192,290,TRUE
193,240,TRUE
194,180,TRUE
195,225,TRUE
196,1030,TRUE
197,155,TRUE
198,215,TRUE
199,705,TRUE
200,285,TRUE
201,135,TRUE
202,465,TRUE
203,80,TRUE
204,370,TRUE
205,480,TRUE
206,195,TRUE
207,705,TRUE
208,300,TRUE
209,605,TRUE
210,600,TRUE
211,355,FALSE
212,425,FALSE
213,540,FALSE
214,265,FALSE
215,1815,FALSE
216,160,FALSE
217,370,FALSE
218,460,FALSE
219,190,FALSE
220,130,FALSE
221,460,FALSE
222,140,FALSE
223,295,FALSE
224,445,FALSE
225,210,FALSE
226,360,FALSE
227,575,FALSE
228,320,FALSE
229,180,FALSE
230,180,FALSE
231,615,FALSE
232,145,FALSE
233,870,FALSE
234,420,FALSE
235,460,FALSE
236,265,FALSE
237,150,FALSE
238,770,FALSE
239,75,FALSE
240,40,FALSE
241,245,FALSE
242,765,FALSE
243,330,FALSE
244,305,FALSE
245,405,FALSE
246,280,FALSE
247,180,FALSE
248,355,FALSE
249,380,FALSE
250,395,FALSE
251,410,FALSE
252,670,FALSE
253,235,FALSE
254,155,FALSE
255,525,FALSE
256,135,FALSE
257,1110,FALSE
258,60,FALSE
259,600,FALSE
260,420,FALSE
261,125,FALSE
262,510,FALSE
263,750,FALSE
264,505,FALSE
265,400,FALSE
266,405,FALSE
267,250,FALSE
268,445,FALSE
269,495,FALSE
270,130,FALSE
271,490,FALSE
272,85,FALSE
273,235,FALSE
274,85,FALSE
275,335,FALSE
276,160,FALSE
277,170,FALSE
278,700,FALSE
279,695,FALSE
280,415,FALSE
281,305,FALSE
282,145,FALSE
283,350,FALSE
284,640,FALSE
285,165,FALSE
286,370,FALSE
287,525,FALSE
288,950,FALSE
289,125,FALSE
290,1255,FALSE
291,155,FALSE
292,735,FALSE
293,215,FALSE
294,195,FALSE
295,660,FALSE
296,80,FALSE
297,235,FALSE
298,500,FALSE
299,1145,FALSE
300,540,FALSE
301,180,FALSE
302,145,FALSE
303,745,FALSE
304,390,FALSE
305,1410,FALSE
